from,to,weight,relationship
AR,Nike,4,2
AR,BigShoe,2,1
IG,Mercedes_AMG,3,2
IG,Adidas,4,2
IG,Laureus_Sport_for_Good,2,1
IG,City_in_the_Community_Foundation,1,1
JB,Nike,4,2
JB,McDonalds,3,2
JB,JBL,3,2
JB,PlayStation,3,2
JB,Edel_Optics,3,2
JB,Braun,2,2
JB,DKMS,3,1
JB,Living_a_Dream,3,1
JB,Trostpflaster_Aktion,2,1
JBR,Nike,4,2
JD,Jd_Marketing_GmbH,3,2
JD,Adidas,4,2
JD,Unicef,3,1
JD,Hugo_Boss,2,2
JH,Jugendhilfe_Jona,3,1
JH,Adidas,4,2
JK,Braun,2,2
JK,Nike,4,2
JK,11_Teamsports,3,2
KT,EA_Sports_Fifa,1,2
KT,KT01_Collection,1,2
KT,Mein_Klub_Meine_Hilfe,1,1
KT,Elterninitiative_Saarland,1,1
KT,Adidas,4,2
KT,United_Charity,1,1
LG,Nike,4,2
LG,Lavia_Trauergruppe,2,1
LG,FC_Schalke_04,1,2
LG,Tiwi_Ndogo_e.V.,2,1
LG,Kumpelkiste,1,1
LG,FOX,1,2
MG,Nike,4,2
MG,Matthias_Ginter_Stiftung,3,1
MG,Initiative_der_Kinder_und_Jugendklinik_Freiburg_e.V.,2,1
MGO,Hugo_Boss,3,2
MGO,Nike,4,2
MGO,Gazi,3,2
MGO,Die_Wiege,2,1
MGO,United_Charity,1,1
MH,Adidas,3,2
MH,Hugo_Boss,3,2
MH,Tag_Heuer,3,2
MH,Unicef,3,1
MH,Common_Goal,3,1
MH,Ferrero,2,2
MH,Head_and_Shoulders,2,2
MH,Opel,1,2
MH,Braun,1,2
MH,Apple_Music,1,2
MH,Telekom,1,2
MN,Manuel_Neuer_Kids_Foundation,3,1
MN,Coca_Cola,3,2
MN,Sony_Alpha,2,2
MN,Ferrero,2,2
MN,Head_and_Shoulders,2,2
MN,Allianz,1,2
MN,Adidas,4,2
MN,MobileWorld24,2,2
MN,Doppelherz,2,2
MN,Disneys_Die_Monster_Uni,1,2
MO,Ferrero,2,2
MO,Adidas,4,2
MO,Vodafone,1,2
MO,The_Oezil_Charitable_Foundation,3,1
MO,BigShoe,2,1
MO,United_Charity,2,1
MO,Daimler,1,2
MP,Nike,4,2
MP,Show_Racism_the_Red_Card,3,1
MP,Daimler,1,2
MR,United_Charity,2,1
MR,DKMS,3,1
MR,Opel,1,2
MR,Puma,4,2
MR,Elterntreff_Dortmund,3,1
MR,EA_Sports_Fifa,3,2
MR,Kaliber5_SPORTS,3,2
MR,SportsTotal,3,2
MS,McDavid_Football,3,2
MS,Adidas,4,2
MS,Fight_for_Finn,1,1
MS,Nujeens_Dream,1,1
MS,Beko,1,2
NS,Nike,4,2
SK,United_Charity,2,1
SK,Porsche_Jugendfoerderung,2,1
SK,Sami_Khedira_Stiftung,3,1
SK,Nike,4,2
SR,Jamie_Jacobs,1,2
SR,Nike,4,2
SR,Gemeinde_Dietingen,2,1
TK,Adidas,4,2
TK,Lays,3,2
TK,Hugo_Boss,3,2
TK,Pepsi,3,2
TK,Rtl_Wir_Helfen_Kindern,2,1
TK,Toni_Kroos_Stiftung,3,1
TM,Adidas,4,2
TM,Barilla,3,2
TM,Rewe,3,2
TM,Weber,3,2
TM,Gillette,3,2
TM,Young_Wings,3,1
TM,EA_Sports_Fifa,2,2
TM,Verlagsgruppe_Oetinger,1,2
TM,Caseable,1,2
TM,United_Charity,2,1
TM,KiO_Kinderhilfe_Organtransplantation,2,1
TM,Rtl_Wir_Helfen_Kindern,1,1
TM,Aktion_Ehrenamt_Des_Dfb,1,1
TM,My_Topps,1,2
TM,Sky_Charity,1,1
TW,EHFK,1,1
TW,Adidas,4,2
IG,Family_and_Football,5,3
JB,CN_Sports,5,3
JBR,Familienangehoeriger_Brandt,5,3
JD,Rogon,5,3
JH,Act,5,3
JK,fair_sport GmbH,5,3
KT,Joerg_Neubauer,5,3
LG,Joerg_Neubauer,5,3
MG,ISMG_International,5,3
MGO,fair_sport GmbH,5,3
MH,HMH_Sportmanagement,5,3
MN,PRO_Profil_GmbH,5,3
MO,Family_and_Football,5,3
MR,SportsTotal,5,3
NS,Karlheinz_Foerster,5,3
SK,NGM_SPORTS,5,3
SR,Familienangehoeriger_Rudy,5,3
TK,SportsTotal,5,3
TM,Koegl_und_Partner_GmbH,5,3
TW,Karlheinz_Foerster,5,3
AR,FSB_Spielerberatung_GmbH,5,3
MP,Briem_Soccer_Connection,5,3
MS,Coaches_and_More_GmbH,5,3
